Story,Labels,Story Type,Current State,Created at,Accepted At,Description,Estimate
Epic: Homepage Redesign (images and copy) - Part 3,"redmine,redmineID-334,redmine-Viralheat Product - Scrum",feature,accepted,01/23/2012 10:08 am,02/06/2012 04:11 pm,"",0
Epic: Ability to follow somebody from Twitter mentions - Part 2,"redmine,redmineID-330,redmine-Viralheat Product - Scrum",feature,unscheduled,01/23/2012 10:00 am,,"",-1
Contractor: DNF to english screen,"redmine,redmineID-326,redmine-Viralheat Product - Scrum",feature,unscheduled,01/20/2012 12:16 pm,,"",-1
Compute Reach/Impressions for Each Post on Twitter.,"redmine,redmineID-325,redmine-Viralheat Product - Scrum",feature,unscheduled,01/18/2012 07:11 pm,,"",-1
Have the ability to delete individual mentions from a profile.,"redmine,redmineID-324,redmine-Viralheat Product - Scrum",feature,unscheduled,01/18/2012 07:09 pm,,"",-1
Epic: Create onboarding process for 1.4 - Part 1,"redmine,redmineID-317,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 02:44 pm,01/23/2012 10:47 am,"The new onboarding process should cover:

0. Entering your info
1. Connecting you accounts.
2. Adding profiles, if you are a paid plan.
3. Watching videos.

How to build a profile page for version 1.4",0
Homepage Images and Revisions,"redmine,redmineID-316,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 02:22 pm,,"",-1
Homepage Copy,"redmine,redmineID-315,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 02:22 pm,,"",-1
Adding Bitly and other URL Shortneres support via Oauth and adding to publishing/commenting box?,"redmine,redmineID-311,redmine-Viralheat Product - Scrum",feature,unscheduled,01/06/2012 01:46 pm,,"This is again part of publishing, moving this to adam.",-1
Epic: Facebook Stats & Twitter Timeline - Part 1,"redmine,redmineID-310,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 01:45 pm,01/23/2012 10:34 am,"",0
CSS Tweaks to publishing box,"redmine,redmineID-308,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 01:30 pm,,"",-1
Epic: Ability to unfollow somebody from Twitter timeline - Part 1,"redmine,redmineID-307,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 01:26 pm,01/23/2012 10:35 am,"",0
Epic: Copy for features page and help video page - Part 1,"redmine,redmineID-305,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 01:15 pm,01/23/2012 10:36 am,"",0
Design & Coding the display of new statistics in product,"redmine,redmineID-304,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 01:09 pm,,"",-1
Working with Contractor and Integrating with Frontend,"redmine,redmineID-303,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 01:09 pm,,"",-1
Epic: Backend+Frontend: Twitter Features/Functionalities (Integration w/ Contractor) - Part 1,"redmine,redmineID-302,redmine-Viralheat Product - Scrum",feature,unscheduled,01/06/2012 01:09 pm,,"Here's a list of functionalities that would be cool. I might need to explain some of them:

* Breakdown of top influencer mentions across my brand v. competitors
* Breakdown of top influencer mentions across industry keywords & my brand
* Breakdown of this top influencer v. other industry influencers
* Geographies with the most influential users and the top topics in that geo
* Top 10 positive influencers
* Top 10 negative influencers
* Most retweeted post from my brand/handle
* Most responded to tweet/post from my brand/handle
* Most popular post person from my company (when seat management available)
* Business/Brand influencers v. Personal influencers (the difference between seeing that Huffington Post is an influencer in your industry versus an individual like @JohnSmith)
* Breakdown of: Topics v. Direct Mentions v. Retweets
",-1
Design Revisions to Plan Selection Page + Code,"redmine,redmineID-299,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 12:49 pm,,"",-1
Plan Selection page copy,"redmine,redmineID-298,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 12:49 pm,,"",-1
Epic: Feature select splash - Part 2,"redmine,redmineID-297,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 12:48 pm,01/23/2012 10:39 am,"",0
Copy changes,"redmine,redmineID-296,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 12:44 pm,,"",-1
Add bitly as an external platform,"redmine,redmineID-295,redmine-Viralheat Product - Scrum",feature,unscheduled,01/06/2012 12:41 pm,,"",-1
Update Icons for FB/Twitter,"redmine,redmineID-294,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 12:40 pm,,"",-1
Fix platform counter,"redmine,redmineID-293,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 12:40 pm,,"",-1
Epic; Twitter/Facebook Publishing Lightbox UI - Polish - part 2,"redmine,redmineID-292,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 12:39 pm,01/23/2012 10:38 am,"",0
Epic: All help bubble copy - Part 1,"redmine,redmineID-291,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 12:35 pm,01/23/2012 10:39 am,"",0
Epic: Homepage Redesign (images and copy) - Part 2,"redmine,redmineID-290,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 12:29 pm,01/23/2012 10:40 am,"",0
Epic: About Static Page (copy and images) - Part 3,"redmine,redmineID-289,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 12:24 pm,01/23/2012 10:40 am,copy and images,0
Epic: Features - Personal and Business - Part 1,"redmine,redmineID-286,redmine-Viralheat Product - Scrum",feature,accepted,01/06/2012 11:29 am,01/23/2012 11:22 am,"",0
Visual Polish of Twitter/Facebook Commenting Box,"redmine,redmineID-284,redmine-Viralheat Product - Scrum",chore,unscheduled,01/06/2012 09:48 am,,"What new features does this include, if any?",-1
Rewrite data sensors to use elastic search,"redmine,redmineID-280,redmine-Viralheat Product - Scrum",chore,unscheduled,01/04/2012 11:03 am,,"",-1
Make a way of invalidating page access tokens and warning the user about such invalidation,"redmine,redmineID-274,redmine-Viralheat Product - Scrum",chore,unscheduled,12/19/2011 02:40 pm,,"",-1
Add Character Count feature,"redmine,redmineID-272,redmine-Viralheat Product - Scrum",chore,unscheduled,12/19/2011 02:37 pm,,The publishing box should disable twitter publishing after a certain character count is reached,-1
Design & Coding the display of new Twitter statistics in product,"redmine,redmineID-271,redmine-Viralheat Product - Scrum",chore,unscheduled,12/19/2011 02:34 pm,,"",-1
Working with Contractor and Integrating with Frontend,"redmine,redmineID-270,redmine-Viralheat Product - Scrum",chore,unscheduled,12/19/2011 02:33 pm,,"",-1
Homepage Coding,"redmine,redmineID-269,redmine-Viralheat Product - Scrum",chore,unscheduled,12/19/2011 02:26 pm,,"Raj: Coding
Copywriter: Needs new copy for homepage",-1
"Homepage: Wireframing, Slider Images, Applying screenshots","redmine,redmineID-268,redmine-Viralheat Product - Scrum",chore,unscheduled,12/19/2011 02:25 pm,,"Elvis: Wireframing
Elvis: Slider Images
Elvis: Applying new screenshots to the homepage
",-1
Press Page - Debt,"redmine,redmineID-254,redmine-Viralheat Product - Scrum",feature,unscheduled,12/15/2011 02:02 pm,,"",-1
Press - Viralheat in the press (debt),"redmine,redmineID-253,redmine-Viralheat Product - Scrum",feature,unscheduled,12/15/2011 02:02 pm,,"",-1
"Add more stats to Facebook, ike averages and up or down from the past period. Each Period should have a hover tip to show how the change was computed.","redmine,redmineID-252,redmine-Viralheat Product - Scrum",feature,unscheduled,12/15/2011 01:48 pm,,"",-1
Compute Facebook Page Analytics Stats (Running Ticket),"redmine,redmineID-251,redmine-Viralheat Product - Scrum",feature,unscheduled,12/15/2011 01:45 pm,,"",-1
Add Sentiment analysis to Facebook Time line (Very much like the Chrome plugin),"redmine,redmineID-250,redmine-Viralheat Product - Scrum",feature,unscheduled,12/15/2011 01:44 pm,,"",-1
Add Translation feature to Viralheat. Lets explore the Google Translate Paid API's and also MyGengo.,"redmine,redmineID-249,redmine-Viralheat Product - Scrum",feature,unscheduled,12/14/2011 10:02 am,,"",-1
Ability for Marketing Team to create Social Trends Charts,"redmine,redmineID-247,redmine-Viralheat Product - Scrum",feature,unscheduled,12/12/2011 04:21 pm,,"",-1
Integration Piece,"redmine,redmineID-245,redmine-Viralheat Product - Scrum",chore,unscheduled,12/12/2011 03:05 pm,,"",-1
Create infrastructure for front-end render testing,"redmine,redmineID-240,redmine-Viralheat Product - Scrum",feature,unscheduled,12/07/2011 03:22 pm,,"",-1
Integration Piece,"redmine,redmineID-239,redmine-Viralheat Product - Scrum",chore,unscheduled,12/07/2011 01:41 pm,,"",-1
Parse the return data and populate the Author and Tweet vector objects ,"redmine,redmineID-238,redmine-Viralheat Product - Scrum",chore,unscheduled,12/07/2011 01:33 pm,,"",-1
Making Http call to get the complete timeline of the user in a json object,"redmine,redmineID-237,redmine-Viralheat Product - Scrum",chore,started,12/07/2011 01:31 pm,,"",0
Facebook Page Analytics: Instructional text for each section,"redmine,redmineID-233,redmine-Viralheat Product - Scrum",chore,unscheduled,12/07/2011 12:46 pm,,"",-1
Facebook Page Analytics: Visual polish of Analytics Page,"redmine,redmineID-232,redmine-Viralheat Product - Scrum",chore,unscheduled,12/07/2011 12:45 pm,,"",-1
Facebook Page Analytics: Functional setup of page that lays out all analytics,"redmine,redmineID-231,redmine-Viralheat Product - Scrum",chore,unscheduled,12/07/2011 12:44 pm,,"",-1
Visual Polish of Publishing Lightbox,"redmine,redmineID-230,redmine-Viralheat Product - Scrum",chore,unscheduled,12/07/2011 11:02 am,,"",-1
Functional Coding of Lightbox,"redmine,redmineID-229,redmine-Viralheat Product - Scrum",chore,unscheduled,12/07/2011 11:01 am,,Includes implementation of all features depicted within the design image except those related to location. Also the publishing box only currently supports text.,-1
Creation of assets for publishing box & assistance with visual polish,"redmine,redmineID-228,redmine-Viralheat Product - Scrum",chore,unscheduled,12/07/2011 11:00 am,,"",-1
Update 'Add new profile' wizard page,"redmine,redmineID-225,redmine-Viralheat Product - Scrum",feature,accepted,12/06/2011 05:30 pm,01/23/2012 04:49 pm,"",0
Contact Us Page with a Thank you page,"redmine,redmineID-224,redmine-Viralheat Product - Scrum",feature,accepted,12/06/2011 05:20 pm,01/23/2012 04:49 pm,"",0
Admin can assume to be any user for debugging purpose. Admin can login as any user in the system.,"redmine,redmineID-221,redmine-Viralheat Product - Scrum",feature,unscheduled,12/06/2011 05:01 pm,,"",-1
Visual Polish of Twitter Feed,"redmine,redmineID-218,redmine-Viralheat Product - Scrum",chore,unscheduled,12/06/2011 04:13 pm,,"",-1
Spike: publishing to a page needs to support choosing to publish as user or page,"redmine,redmineID-216,redmine-Viralheat Product - Scrum",chore,unscheduled,12/06/2011 03:48 pm,,"",-1
Epic: Engagement for Facebook & Twitter - Part 3,"redmine,redmineID-215,redmine-Viralheat Product - Scrum",feature,unscheduled,12/06/2011 01:00 pm,,"",-1
"Facebook: individual cells should reload for post or like, not the whole page","redmine,redmineID-213,redmine-Viralheat Product - Scrum",chore,unscheduled,12/06/2011 10:29 am,,"",-1
Facebook: Log likes,"redmine,redmineID-212,redmine-Viralheat Product - Scrum",chore,unscheduled,12/06/2011 10:28 am,,"",-1
Facebook & Twitter: Log post/tweet deletions,"redmine,redmineID-211,redmine-Viralheat Product - Scrum",chore,unscheduled,12/06/2011 10:28 am,,"",-1
Adding Search Functionality in Viralheat Dashboard,"redmine,redmineID-207,redmine-Viralheat Product - Scrum",feature,unscheduled,11/30/2011 12:07 am,,User should be able to search for specific mentions in entire account / streams.,-1
Clarify (add additional) instructional text re: location filter restrictions,"redmine,redmineID-206,redmine-Viralheat Product - Scrum",feature,unscheduled,11/30/2011 12:03 am,,"We need to add a note to help people understand the restrictions of using this feature. It will definitely help cut down unnecessary support requests.


Vishal Note - Can you be more specific, what kind of issues you are seeing, what language needs to be changes?
",-1
Clarify (add additional) instructional text re: location filter restrictions,"redmine,redmineID-205,redmine-Viralheat Product - Scrum",feature,unscheduled,11/30/2011 12:01 am,,"We need to add a note to help people understand the restrictions of using this feature. It will definitely help cut down unnecessary support requests.

Vishal Note - Can you be more specific, what kind of issues you are seeing, what language needs to be changes?",-1
Clarify (add additional) instructional text re: search term character limits,"redmine,redmineID-204,redmine-Viralheat Product - Scrum",feature,unscheduled,11/30/2011 12:01 am,,"We need to add a note to help people understand the restrictions of search term entry. It will definitely help cut down unnecessary support requests.

Vishal Note - Can you be more specific, what kind of issues you are seeing, what language needs to be changes?",-1
Customer Support - Salesforce Service Cloud,"redmine,redmineID-202,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:55 pm,,"",-1
Customer Support - Zendesk,"redmine,redmineID-201,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:55 pm,,"",-1
Marketing Automation - Eloqua,"redmine,redmineID-200,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:54 pm,,"",-1
Marketing Automation - Marketo,"redmine,redmineID-199,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:54 pm,,"",-1
CRM integration - Highrise,"redmine,redmineID-198,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:54 pm,,"",-1
Web Analytics Integration - Overall,"redmine,redmineID-196,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:52 pm,,"Clicky
Woopra
",-1
Web Analytics Integration - Omniture,"redmine,redmineID-195,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:52 pm,,TBD,-1
Web Analytics Integration - Google Analytics,"redmine,redmineID-194,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:52 pm,,"",-1
CRM integration - Oracle,"redmine,redmineID-193,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:51 pm,,"",-1
CRM integration - Microsoft Dynamic CRM,"redmine,redmineID-192,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:51 pm,,"",-1
CRM integration - Netsuite,"redmine,redmineID-191,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:51 pm,,"",-1
Viralheat Enterprise Integration,"redmine,redmineID-190,redmine-Viralheat Product - Scrum",feature,unscheduled,11/29/2011 11:49 pm,,"",-1
Overall (All other Datasources),"redmine,redmineID-189,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:48 pm,,"Please add new data sources related feature requests to this ticket.
---------------------------------------------------------
*Publishing:*

Tumblr
Wordpress

*Video Sharing:*
Vimeo
Metacafe
DailyMotion
Hulu

*Photo Sharing:*
Flickr
Instagram

*Bookmarking Sites:*

Google Bookmarks
Digg
Delicious
StumbleUpon


*Travel Related Sites:*

Orbitz
TripAdvisor
Expedia

*Reviews:*

Yelp Reviews
Amazon Reviews
iTunes reviews

*Comments:*

Comments from all the Sites above that allow commenting.
Comments from YouTube and other video sharing sites. 
Comments from Wordpress
Comments from Disqus
Comments from other blog providers


",-1
Create a Support Center for Customers,"redmine,redmineID-188,redmine-Viralheat Product - Scrum",feature,unscheduled,11/29/2011 11:41 pm,,"With a forum, knowledge base.

Lets leverage Zendesk for this.",-1
Foursquare,"redmine,redmineID-187,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:40 pm,,"",-1
Google+,"redmine,redmineID-186,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:39 pm,,"",-1
Linkedin,"redmine,redmineID-185,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:39 pm,,"",-1
OAuth Library for Wordpress,"redmine,redmineID-184,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:38 pm,,"",-1
OAuth Library for Tumblr,"redmine,redmineID-183,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:38 pm,,Connect with Tumblr,-1
Oauth for FourSquare,"redmine,redmineID-182,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:37 pm,,"",-1
"OAuth Library for Google related services (YouTube, Google Analytics and others)","redmine,redmineID-181,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:37 pm,,"1. Connect to YoUTube
2. Connect to Google Analytics
3. Connect to Google Apps
4. Connect to Gmail (for Contacts)
5. Connect to Google Contacts.

I am assuming it should be very similar, so just opening an umbrella ticket for all Google related services.",-1
OAuth Library for Linkedin,"redmine,redmineID-180,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:35 pm,,Connect to Linkedin Account.,-1
OAuth Library for Google+,"redmine,redmineID-179,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:35 pm,,Connect to the Google Plus account.,-1
Engagement Functionality for Google+,"redmine,redmineID-178,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:34 pm,,"User should be able to engage on G+

- This is very similar to Facebook or Twitter.",-1
Engagement Functionality for Linkedin,"redmine,redmineID-177,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:34 pm,,"1. User should be able to update status on Linkedin.

Linkedin has API's for the inbox.

2. User should be able to send an email and also receive an email (inbox) for Linkedin.",-1
Engagement Functionality for Facebook,"redmine,redmineID-176,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:33 pm,,"",-1
Engagement Functionality for Twitter,"redmine,redmineID-175,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:32 pm,,"This is almost done already, but adding here tor track.",-1
Create a Tiered Filtering Concept (Advanced Filtering concept),"redmine,redmineID-174,redmine-Viralheat Product - Scrum",feature,unscheduled,11/29/2011 11:31 pm,,"How to filter when there are multiple ways to filter data, need a better concept for a future version.",-1
Create an ATOM or RSS feeds for different Sections of the service,"redmine,redmineID-173,redmine-Viralheat Product - Scrum",feature,unscheduled,11/29/2011 11:29 pm,,"1. User can see all the mentions for all the profiles in RSS or Atom format
2. User can see all the mentions for their hooked accounts in RSS or Atom format
3. User can see all the alerts generated.
4. Use can setup Profile specific RSS feeds or Atom feeds.",-1
Email a platform specific report to the user,"redmine,redmineID-172,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:25 pm,,"1. The user can get a report for Twitter stats for personal account
2. The user can get another report for Facebook stats for personal account

TBD:

1. The user can setup so that they only get platform specific alerts / email reports.
a. Negative tweets on Twitter
b. Mentions of something on Twitter
c. Influencer mentioned something on Twitter

2. Same for other platforms. Have platform specific alerts / email reports.",-1
Add a report to download all the data for ALL the profile in excel or csv,"redmine,redmineID-171,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:22 pm,,"1. User can download the data.
2. User can email the report, or setup so that this get emailed to the user every day/wee/month.",-1
Add a report to download all the data for a profile in excel or csv,"redmine,redmineID-170,redmine-Viralheat Product - Scrum",chore,unscheduled,11/29/2011 11:21 pm,,"",-1
Selected date reporting,"redmine,redmineID-167,redmine-Viralheat Product - Scrum",feature,unscheduled,11/29/2011 12:33 pm,,"Would like to be able to select date range for reporting, similar to Google Analytics, so I can compare exact campaign start dates with other things.",-1
Percent change over time feature,"redmine,redmineID-166,redmine-Viralheat Product - Scrum",feature,unscheduled,11/29/2011 12:32 pm,,"Would love a feature that allows users to compare the percentage change over time, specifically over selected days and weeks right now. When we are able to do ""all time history"" months and years will be important too.",-1
Add Author in Wordpress Blog,"redmine,redmineID-164,redmine-Viralheat Product - Scrum",feature,unscheduled,11/28/2011 11:39 am,,Please change the format of the Wordpress blog to include the author's name underneath the headline text.,-1
Facebook: OAUTH Needs to have user details,"redmine,redmineID-163,redmine-Viralheat Product - Scrum",chore,accepted,11/23/2011 12:06 pm,11/23/2011 05:02 pm,"We need to add the following to the user oauth JSON string that we are storing in external accounts:

- User's name
- User's sex
- User's age

Raj
",0
Facebook: Ability to delete Comments or Posts,"redmine,redmineID-162,redmine-Viralheat Product - Scrum",chore,accepted,11/22/2011 05:28 pm,12/06/2011 10:27 am,"",0
Facebook: Ability to Like Comments,"redmine,redmineID-161,redmine-Viralheat Product - Scrum",chore,accepted,11/22/2011 05:28 pm,12/06/2011 10:26 am,"",0
Facebook: Not all comments are displayed for each wall post,"redmine,redmineID-159,redmine-Viralheat Product - Scrum",chore,accepted,11/22/2011 12:38 pm,11/22/2011 05:42 pm,"Either there needs to be a way to load more comments for a given post, or to load them all initially.
Up to 3 comments are shown. Once there are more than 3 comments then only 2 are shown.",0
Facebook: Comments do not show avatar images,"redmine,redmineID-158,redmine-Viralheat Product - Scrum",chore,accepted,11/22/2011 12:36 pm,12/06/2011 10:25 am,This information is not given by facebook when getting comments.,0
Facebook: publishing to a page needs to support choosing to publish as user or page,"redmine,redmineID-157,redmine-Viralheat Product - Scrum",chore,unscheduled,11/22/2011 12:32 pm,,The problem with this is that in order to publish as a user the user must have liked the page,-1
Facebook: Cannot manage personal wall,"redmine,redmineID-156,redmine-Viralheat Product - Scrum",chore,unscheduled,11/22/2011 12:31 pm,,known limitation/bug: cannot manage Facebook personal wall,-1
Facebook: Refactor: Store oauth tokens for publishing to pages within external service's json,"redmine,redmineID-155,redmine-Viralheat Product - Scrum",chore,accepted,11/22/2011 12:30 pm,12/06/2011 10:26 am,"refactor: we should be storing the oauth tokens for publishing within the external service's json each time they are listed. The code to do this will be the same code that lists external accounts. The publishing code should retrieve these from the database, not from Facebook.",0
Twitter & Facebook: Errors and notices are sent via flash notification and do not display until page refresh!,"redmine,redmineID-152,redmine-Viralheat Product - Scrum",chore,unscheduled,11/22/2011 12:10 pm,,Flash notifications such as “message sent” or “error: …” do not display until page refresh. ,-1
Twitter can be upgraded to use stream api instead of polling,"redmine,redmineID-151,redmine-Viralheat Product - Scrum",chore,unscheduled,11/22/2011 12:08 pm,,"    Twitter does not register a retweet immediately upon returning a success message
        Handled by introducing a 1500ms delay before reloading the tweet.
        The proper way is to open a stream, wait for any updates, and display them in real-time on the page.",-1
Twitter & Facebook: Displaying backend twitter records using the new stream code will require code updates to work.,"redmine,redmineID-148,redmine-Viralheat Product - Scrum",chore,unscheduled,11/22/2011 12:06 pm,,"Backend records can only currently be displayed, not interacted with. Interaction will require a few hours of coding time. There are also pieces of information about tweets that are missing in backend records such as “rewteet_count”.",-1
System not recognizing the @ sign,"redmine,redmineID-147,redmine-Viralheat Product - Scrum",feature,unscheduled,11/21/2011 06:12 pm,,"""When I download the ""Summary Report"" for Twitter for my Mint profile, it is pulling in any tweet that uses the word ""Mint"". However, my parameters are for ""@mint"". Is there anyway to just have the system pull those tweets and not all tweets with ""Mint"" in them?""",-1
"Additional data source integration: WordPress, Tumblr, Instagram","redmine,redmineID-114,redmine-Viralheat Product - Scrum",feature,unscheduled,11/15/2011 04:26 pm,,"Add data sources -- WordPress, Tumblr, Instagram",-1
Change social trends/images file names - No longer needed?,"redmine,redmineID-113,redmine-Viralheat Product - Scrum",feature,unscheduled,11/15/2011 11:34 am,,"",-1
"Create UI for New ""Account Settings"" Screen","redmine,redmineID-98,redmine-Viralheat Product - Scrum",feature,unscheduled,10/24/2011 11:04 am,,"",-1
Facebook Account-Level Analytics Layout,"redmine,redmineID-97,redmine-Viralheat Product - Scrum",feature,unscheduled,10/24/2011 11:00 am,,SO go to Viralheat's Facebook Insights. There there will be many stats. Take stats from there and lay it out in a Viralheat analytics panel.,-1
Create Concept Modal Box for Publishing,"redmine,redmineID-95,redmine-Viralheat Product - Scrum",feature,unscheduled,10/24/2011 10:58 am,,"Specific the action that is taking place (ex. Replying to ???)
Should be able to multi-select accounts when posting
Handle replies for Tweets/Facebook
Should limit characters in reply to 140
User can select a physical location to post their reply from

h2. Use cases for Replies

# Replies to tweets only show twitter accounts to reply from and you can only select one when replying
# When replying in stream with facebook can only respond with the account that owns the stream (no account selection)
# When replying to a facebook mention you can select any facebook account to reply as

",-1
Create Concept for Stream for Accounts,"redmine,redmineID-94,redmine-Viralheat Product - Scrum",feature,unscheduled,10/24/2011 10:49 am,,"Stream for Twitter
Stream for Facebook
Show comments from Twitter and Facebook
Options should include: Reply, Retweet (if tweet), etc (platform-specific actions)
",-1
Create Toolbar Concept for Accounts,"redmine,redmineID-93,redmine-Viralheat Product - Scrum",feature,unscheduled,10/24/2011 10:47 am,,"# Should have overview, stream, analytics, notifications/alerts, search
# Box for filtering + Filtering options (platform, sentiment, etc.)

 ",-1
CRM Integration - Revisit Salesforce Integration with Viralheat,"redmine,redmineID-85,redmine-Viralheat Product - Scrum",chore,accepted,10/17/2011 06:03 pm,11/29/2011 11:50 pm,"1. Check to make sure Salesforce oAuth works and records can be exported to Salesforce.

Current features:

* Install sconnect_release to the salesforce account you wish to connect
* Initiate an OAuth 2.0 connection with the target Salesforce account
* Remove a connected salesforce account
* Send a Twitter mention to one of N linked Salesforce accounts

Check this integration out with Zendesk for more information.

https://support.zendesk.com/entries/348360-zendesk-for-salesforce-getting-started",0
Create an awesome 404 error page for Viralheat,"redmine,redmineID-84,redmine-Viralheat Product - Scrum",feature,unscheduled,10/17/2011 03:42 pm,,"We can discuss ideas here.

1. Currently we have something where the fire has gone out of the logo of Viralheat.",-1
Add state-level location filter,"redmine,redmineID-83,redmine-Viralheat Product - Scrum",feature,unscheduled,10/17/2011 03:32 pm,,"""I wanted to filter down my searches to the state level.  My project this year is political forecasting at the state level using Twitter.  For example, to predict the outcome of the Florida primaries, I need to have the data broken down to account for just a single state.  Being able to filter Twitter data down to the state level will be an invaluable research and marketing tool alike.""

Shawn Meacham
Twitter Researcher",-1
Linked account access tokens should be more secure,"redmine,redmineID-82,redmine-Viralheat Product - Scrum",feature,unscheduled,10/17/2011 12:15 pm,,"",-1
Email in the contact form should be a required field,"redmine,redmineID-81,redmine-Viralheat Product - Scrum",feature,accepted,10/17/2011 12:05 pm,01/23/2012 04:50 pm,Else the default emails are sent from info@viralheat.com,0
Engagement Functionality,"redmine,redmineID-75,redmine-Viralheat Product - Scrum",feature,accepted,10/12/2011 11:57 am,12/06/2011 04:30 pm,"h2. High level Requirements

# Can transmit a message to twitter/facebook from dashboard, even using multiple accounts. For each FB account the post can go to multiple locations (wall/fanpages)
# (NOT IN 1.4) can time tweet transmission in the future (date/time)
# from the raw feed you can retweet/reply (only on the same network), and can choose which accounts to retweet from


h2. Technical Requirements

h3. New Campaigns

# Dashboard -> Post to Facebook: Create a way to post to your own facebook wall or fanpage (text-only in 1.4) (with x accounts) 
Get fanpage/wall IDs (fb account id)
Publish to facebook location (fb account id, datetime(optional), message, wall/fanpage IDs) This could then be run for each fb account id
Model: Get user facebook accounts (returns a list of facebook account ids)
Get facebook fanpages for User (fb user id)
# Dashboard -> Tweet: Create a way to tweet something with X accounts. (can be posted in the future, same time by each account?)
Publish to Twitter (twitter account id, datetime(optional), message)
# (NOT IN 1.4) Dashboard -> Post Video: Create a way to post a video to Youtube with X accounts

h3. Engagement

# Profile Dashboard -> Facebook: Create a way to publicly comment on a mention.
# Profile Dashboard -> Twitter: Create a way to retweet a mention (from X accounts), or by tweeting something with @author (with X accounts), or by replying (with a single account), or even by replying all.

h3. Other

# Engagement functionality should be a new controller (engagement or maybe publishing)

h2. Additional Requirements

# Keep a history of everything published through Viralheat
# (NOT IN 1.4) Scheduling for future transmission of messsages
# (NOT IN 1.4) Profile Dashboard -> Video: Create a way to comment on a Youtube Video (with 1 account per comment), (Requires Connecting Facebook as an External Account)(can be posted in the future?)
# UI: Profile Dashboard -> Create a way of prompting the user to connect the appropriate account in order to engage in the discussion
# Text only for now, rich media to come later. Avoid the assumption that the message is text.

h2. Additional Notes

# Users can participate in a thread discussion, but our app has no way of viewing a thread!
# Look into cotweet
# Note: in 1.4, a single user behaves as multitenant",0
Help Center with 1.4,"redmine,redmineID-69,redmine-Viralheat Product - Scrum",feature,unscheduled,10/04/2011 02:29 pm,,"Need to have an extensive Help Center with the launch of the new version.

Check out some examples at:

http://talent.linkedin.com/customer-center/?pin=49",-1
OAuth Library for Twitter,"redmine,redmineID-67,redmine-Viralheat Product - Scrum",chore,accepted,09/29/2011 05:33 pm,10/12/2011 12:18 pm,"",0
OAuth Library for Facebook,"redmine,redmineID-66,redmine-Viralheat Product - Scrum",chore,accepted,09/29/2011 05:33 pm,10/12/2011 12:18 pm,"",0
